pair_idx,pair_dir,selected_variant,interpose_RE_deg,interpose_TE_deg,pair_only_RE_deg,pair_only_TE_deg,delta_RE_deg_inter_minus_pair,delta_TE_deg_inter_minus_pair
84,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00084_07d9f9724ca8,v3_B2A_p2_s2,1.388915073955909,0.374052099219205,nan,nan,nan,nan
85,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00085_8324b3ca2208,v2_B2A_p1_s1,6.748486112689816,4.946173723620323,nan,nan,nan,nan
86,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00086_484c0aca40c1,v2_B2A_p1_s1,2.6355323905521697,1.4180661080789976,nan,nan,nan,nan
87,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00087_ef59aac43713,v3_B2A_p2_s2,2.292447687782404,3.8103342128941775,nan,nan,nan,nan
88,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00088_918c8dad730c,v0_A2B_p1_s1,83.9732361223473,83.71945791392375,nan,nan,nan,nan
89,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00089_6d81c5ab0d48,v2_B2A_p1_s1,1.5488634391216947,0.3971117309252018,nan,nan,nan,nan
90,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00090_2b65ba886efa,v3_B2A_p2_s2,90.87887274106195,135.6167856238142,nan,nan,nan,nan
91,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00091_e8ce51b6abfe,v0_A2B_p1_s1,1.4962533755945115,0.8589685446722244,nan,nan,nan,nan
92,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00092_ba55c875d20c,v0_A2B_p1_s1,9.462072576482532,5.05060001873551,nan,nan,nan,nan
93,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00093_d9b637662374,v3_B2A_p2_s2,10.693048780515511,124.4942440121612,nan,nan,nan,nan
94,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00094_a726c1112ad0,v0_A2B_p1_s1,4.341565182119925,2.2427794251479507,nan,nan,nan,nan
95,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00095_ec1e44d4dc0f,v3_B2A_p2_s2,2.0630745007586193,3.085436096373611,nan,nan,nan,nan
96,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00096_7a9f97660be8,v0_A2B_p1_s1,0.7286995913101321,0.22508470615836013,nan,nan,nan,nan
97,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00097_adb95f29c15b,v1_A2B_p2_s2,7.2968319122302505,5.269177693994746,nan,nan,nan,nan
98,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00098_389a460ca199,v1_A2B_p2_s2,1.2349951625340663,1.4962822185846614,nan,nan,nan,nan
99,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00099_d9b637662374,v0_A2B_p1_s1,4.0200795224021935,3.344510000503257,nan,nan,nan,nan
100,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00100_a726c1112ad0,v3_B2A_p2_s2,4.830752756966101,7.295816362080947,nan,nan,nan,nan
101,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00101_fb3b73f1d3fe,v3_B2A_p2_s2,10.9483898263357,5.811875156634986,nan,nan,nan,nan
102,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00102_54bf355ca7e0,v3_B2A_p2_s2,8.771797678697466,2.1985419837303515,nan,nan,nan,nan
103,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00103_5a27c00f525f,v0_A2B_p1_s1,12.442633510022716,7.303824085075981,nan,nan,nan,nan
104,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00104_ff592398657b,v3_B2A_p2_s2,3.7866898543398007,2.8283062340965692,nan,nan,nan,nan
105,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00105_07d9f9724ca8,v2_B2A_p1_s1,1.2178771825004304,0.8473317902378371,nan,nan,nan,nan
106,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00106_ded5e4b46aed,v1_A2B_p2_s2,1.4024412622265998,2.0062950702331457,nan,nan,nan,nan
107,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00107_e9360e7a89be,v0_A2B_p1_s1,71.89057465764223,6.520612923184652,nan,nan,nan,nan
108,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00108_d904ae2998f7,v0_A2B_p1_s1,2.937701294817212,0.8557317711693688,nan,nan,nan,nan
109,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00109_6d81c5ab0d48,v2_B2A_p1_s1,4.064887530631978,7.743320731832245,nan,nan,nan,nan
110,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00110_ddfdcfdf02d5,v0_A2B_p1_s1,13.925077116790957,5.489182947052107,nan,nan,nan,nan
111,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00111_ceb252f5d441,v2_B2A_p1_s1,12.397448598060866,7.039743823440224,nan,nan,nan,nan
112,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00112_286239bd0d44,v2_B2A_p1_s1,4.362373738330001,3.5161148682997827,nan,nan,nan,nan
113,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00113_f477ffc4b398,v0_A2B_p1_s1,0.3391867454791174,0.19788744742949843,nan,nan,nan,nan
114,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00114_66fd66cbed40,v2_B2A_p1_s1,0.5528803949379584,1.3890807602586974,nan,nan,nan,nan
115,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00115_2cbfe28643b6,v3_B2A_p2_s2,1.099078769000159,1.0936036978686041,nan,nan,nan,nan
116,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00116_b5faa2a8ce98,v1_A2B_p2_s2,1.602336621178025,2.7845408886030065,nan,nan,nan,nan
117,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00117_389a460ca199,v2_B2A_p1_s1,3.7161500523922157,95.18469954593056,nan,nan,nan,nan
118,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00118_444da1b4a3f1,v1_A2B_p2_s2,7.850713104280007,21.33994202674323,nan,nan,nan,nan
119,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00119_5f0041e53d59,v1_A2B_p2_s2,1.217994305882704,0.528013047184944,nan,nan,nan,nan
120,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00120_9e9a89ae6fed,v3_B2A_p2_s2,1.018133476997284,2.5173119985410612,nan,nan,nan,nan
121,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00121_1ba74c22670a,v3_B2A_p2_s2,4.112141721554691,3.6926260723956883,nan,nan,nan,nan
122,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00122_f004c810d94b,v1_A2B_p2_s2,0.3563167140985582,1.8663573702338947,nan,nan,nan,nan
123,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00123_286239bd0d44,v2_B2A_p1_s1,6.297827942287192,4.2253137740387245,nan,nan,nan,nan
124,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00124_b6d1134cb03c,v2_B2A_p1_s1,5.5394206358089155,8.381464305815898,nan,nan,nan,nan
125,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00125_1264931635e1,v3_B2A_p2_s2,99.14120278657431,126.86428558166868,nan,nan,nan,nan
126,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00126_85cd0e92110b,v2_B2A_p1_s1,1.7339540312073787,1.4344327873705385,nan,nan,nan,nan
127,/home/caesar/camera_pose/Interpose/out_interpose_batch_300/pair_00127_50c46cf8b8b2,v2_B2A_p1_s1,2.419943227028493,2.902051708551867,nan,nan,nan,nan
