pair_idx,scene_name,sequence_name,split_a,split_b,rel_a,rel_b,yaw_diff_deg,pitch_diff_deg,geodesic_rot_deg,baseline,rot_err_deg,trans_dir_err_deg
128,Street,img_north,,,Street/img_north/image_north_1_0430.png,Street/img_east/image_east_0386.png,59.057067,1.524861,59.283201,nan,1.3701081305345788,nan
129,GreatCourt,seq5,,,GreatCourt/seq5/frame00315.png,GreatCourt/seq1/frame00244.png,55.340277,5.695269,56.269562,nan,7.350306797364973,51.22605710368867
130,Street,img,,,Street/img/image2_002338.png,Street/img/image2_002434.png,52.771952,1.518655,53.481901,nan,1.164824718786743,nan
131,Street,img_east,,,Street/img_east/image_east_0076.png,Street/img/image2_001988.png,50.541122,3.391989,50.788388,nan,3.261445083895717,nan
132,Street,img_north,,,Street/img_north/image_north_2_0257.png,Street/img/image2_001210.png,57.331539,0.434357,58.227068,nan,3.9178212797279235,nan
133,GreatCourt,seq5,,,GreatCourt/seq5/frame00202.png,GreatCourt/seq3/frame00200.png,50.536629,0.842395,50.791492,nan,14.711593068270542,26.613812278366158
134,Street,img,,,Street/img/image2_001183.png,Street/img_west/image_west_0361.png,63.617097,5.350025,63.826086,nan,112.52751644008634,nan
135,Street,img_east,,,Street/img_east/image_east_0227.png,Street/img/image2_001300.png,52.627308,11.015798,53.777512,nan,3.407507342910354,nan
136,Street,img_north,,,Street/img_north/image_north_2_0528.png,Street/img/image2_000135.png,56.219981,2.122823,56.260487,nan,4.788579379230394,nan
137,GreatCourt,seq5,,,GreatCourt/seq5/frame00364.png,GreatCourt/seq3/frame00321.png,55.773856,13.923073,57.351063,nan,57.384434539283,19.90660770766121
138,Street,img,,,Street/img/image2_000787.png,Street/img_east/image_east_0357.png,52.887319,2.87895,56.073251,nan,3.538493686155249,nan
139,Street,img_east,,,Street/img_east/image_east_0129.png,Street/img_north/image_north_2_0151.png,63.829329,1.257821,63.841838,nan,4.1129430932158755,nan
140,Street,img_north,,,Street/img_north/image_north_2_0234.png,Street/img/image2_001388.png,63.530275,4.237015,64.40166,nan,10.936894651399669,nan
141,GreatCourt,seq5,,,GreatCourt/seq5/frame00315.png,GreatCourt/seq1/frame00243.png,51.25986,4.074927,52.211364,nan,6.655331682896026,79.25776674126723
142,Street,img,,,Street/img/image2_000288.png,Street/img/image2_000249.png,50.965777,5.760823,51.300521,nan,7.618008914348212,nan
143,Street,img_east,,,Street/img_east/image_east_0268.png,Street/img/image2_001118.png,60.162305,1.985228,62.339973,nan,3.5267268874779747,nan
144,Street,img_north,,,Street/img_north/image_north_2_0527.png,Street/img/image2_000135.png,58.228866,4.671913,58.404864,nan,3.1910673116369535,nan
145,GreatCourt,seq5,,,GreatCourt/seq5/frame00316.png,GreatCourt/seq1/frame00243.png,54.417141,3.124922,54.947843,nan,162.74382813086763,87.79605578157184
146,Street,img,,,Street/img/image2_000872.png,Street/img/image2_000844.png,52.562328,6.913989,53.006367,nan,6.786151811023917,nan
147,Street,img_east,,,Street/img_east/image_east_0268.png,Street/img/image2_001117.png,60.518424,4.73407,63.731872,nan,4.360841863246647,nan
148,Street,img_north,,,Street/img_north/image_north_1_0577.png,Street/img/image1_000308.png,62.903079,3.998037,63.765764,nan,6.186968118666146,nan
149,GreatCourt,seq5,,,GreatCourt/seq5/frame00353.png,GreatCourt/seq3/frame00334.png,59.824537,6.783241,61.20792,nan,61.20788676194772,180.0
150,Street,img,,,Street/img/image2_000872.png,Street/img/image2_000845.png,51.219565,4.90594,51.465364,nan,4.204852937650136,nan
151,Street,img_east,,,Street/img_east/image_east_0130.png,Street/img_north/image_north_2_0153.png,62.393822,0.774111,62.410784,nan,2.4603595377268803,nan
152,Street,img_north,,,Street/img_north/image_north_1_0540.png,Street/img/image2_000131.png,52.204842,2.718826,52.832165,nan,2.696270248906937,nan
153,GreatCourt,seq5,,,GreatCourt/seq5/frame00364.png,GreatCourt/seq5/frame00366.png,54.73371,6.452394,56.444967,nan,2.8264075990226427,47.92568126181766
154,Street,img,,,Street/img/image2_001386.png,Street/img_north/image_north_1_0271.png,61.011355,5.961473,61.903821,nan,61.903821006856674,nan
155,Street,img_east,,,Street/img_east/image_east_0136.png,Street/img/image2_001841.png,51.961339,2.433013,52.128329,nan,2.548336281036775,nan
156,Street,img_north,,,Street/img_north/image_north_1_0530.png,Street/img/image2_000224.png,63.485844,4.469731,63.683579,nan,63.68357870986143,nan
157,GreatCourt,seq5,,,GreatCourt/seq5/frame00584.png,GreatCourt/seq3/frame00147.png,56.155443,3.760986,56.745322,nan,177.19826083247665,63.73417372526947
158,Street,img,,,Street/img/image2_001448.png,Street/img_east/image_east_0193.png,59.062973,5.655554,59.690526,nan,3.6917671177269944,nan
159,Street,img_east,,,Street/img_east/image_east_0439.png,Street/img/image2_000432.png,53.341721,0.855112,55.189773,nan,7.330818976769049,nan
160,Street,img_north,,,Street/img_north/image_north_1_0422.png,Street/img_east/image_east_0376.png,62.477349,0.532873,62.570891,nan,2.3342913764324855,nan
161,GreatCourt,seq5,,,GreatCourt/seq5/frame00037.png,GreatCourt/seq5/frame00359.png,60.27973,6.227929,60.747949,nan,2.840017423167403,59.004406579578955
162,Street,img,,,Street/img/image2_002337.png,Street/img/image2_002434.png,55.5136,1.652853,56.473486,nan,3.425822534667931,nan
163,Street,img_east,,,Street/img_east/image_east_0130.png,Street/img_north/image_north_2_0152.png,62.92108,6.330401,63.233633,nan,4.095679987957552,nan
164,Street,img_north,,,Street/img_north/image_north_2_0405.png,Street/img/image2_000611.png,64.714637,9.987627,65.664714,nan,65.66471384993139,nan
165,GreatCourt,seq5,,,GreatCourt/seq5/frame00355.png,GreatCourt/seq3/frame00588.png,54.461794,5.925052,55.062336,nan,4.907193699486819,18.758448390926983
166,Street,img,,,Street/img/image2_000925.png,Street/img_north/image_north_1_0376.png,57.098972,2.668715,57.288198,nan,5.959246652062189,nan
167,Street,img_east,,,Street/img_east/image_east_0477.png,Street/img/image2_000311.png,53.918338,5.614105,54.298288,nan,4.4240424402830865,nan
168,Street,img_north,,,Street/img_north/image_north_1_0431.png,Street/img_east/image_east_0387.png,63.923049,1.926039,64.190454,nan,9.34386578319142,nan
169,GreatCourt,seq5,,,GreatCourt/seq5/frame00356.png,GreatCourt/seq3/frame00588.png,56.464529,5.264032,57.271221,nan,2.1490883345619007,87.61036142312966
170,Street,img,,,Street/img/image2_000272.png,Street/img/image2_000259.png,62.827397,6.432525,63.19724,nan,4.208778924256588,nan
171,Street,img_east,,,Street/img_east/image_east_0581.png,Street/img/image1_000050.png,64.660466,1.46437,64.71787,nan,9.987790935256246,nan
172,Street,img_north,,,Street/img_north/image_north_2_0527.png,Street/img/image2_000136.png,50.154625,6.032851,50.613019,nan,2.815912611673208,nan
173,GreatCourt,seq5,,,GreatCourt/seq5/frame00361.png,GreatCourt/seq2/frame00262.png,63.083735,12.500862,64.199757,nan,4.042304231160429,55.79114293486401
174,Street,img,,,Street/img/image2_000928.png,Street/img_north/image_north_1_0375.png,63.083727,3.541637,63.362278,nan,5.2307647933354104,nan
