pair_idx,object_id,scene_a,scene_b,rel_a,rel_b,yaw_diff_deg,rot_err_deg,trans_dir_err_deg
62,tractor_green_showpiece,multiview-02-pixel_6pro,multiview-02-pixel_6pro,tractor_green_showpiece/multiview-02-pixel_6pro/images/016.jpg,tractor_green_showpiece/multiview-02-pixel_6pro/images/017.jpg,88.431623,4.133932359605461,5.0008254571479975
63,tumbler_air_balloon,multiview-03-pixel_6pro,multiview-03-pixel_6pro,tumbler_air_balloon/multiview-03-pixel_6pro/images/012.jpg,tumbler_air_balloon/multiview-03-pixel_6pro/images/013.jpg,76.504434,0.5974974904533675,7.818458925879754
64,water_gun_toy_white,multiview-00-pixel_4a,multiview-00-pixel_4a,water_gun_toy_white/multiview-00-pixel_4a/images/016.jpg,water_gun_toy_white/multiview-00-pixel_4a/images/019.jpg,85.35416,3.3081801109337654,3.7892889980986406
65,water_gun_toy_yellow,multiview-02-pixel_6pro,multiview-02-pixel_6pro,water_gun_toy_yellow/multiview-02-pixel_6pro/images/015.jpg,water_gun_toy_yellow/multiview-02-pixel_6pro/images/017.jpg,79.026047,8.311034093983867,7.206816262194836
66,weisshai_great_white_shark,multiview-09-sony_a7iv,multiview-09-sony_a7iv,weisshai_great_white_shark/multiview-09-sony_a7iv/images/042.jpg,weisshai_great_white_shark/multiview-09-sony_a7iv/images/045.jpg,89.809133,7.031601380621826,5.531688737466789
67,welcome_sign_mushrooms,multiview-02-pixel_6pro,multiview-02-pixel_6pro,welcome_sign_mushrooms/multiview-02-pixel_6pro/images/016.jpg,welcome_sign_mushrooms/multiview-02-pixel_6pro/images/019.jpg,82.987277,3.161506155507726,4.4739499140701895
68,well_with_leaf_roof_showpiece,multiview-03-pixel_6pro,multiview-03-pixel_6pro,well_with_leaf_roof_showpiece/multiview-03-pixel_6pro/images/017.jpg,well_with_leaf_roof_showpiece/multiview-03-pixel_6pro/images/018.jpg,66.349995,3.865969727106325,11.213484659290282
69,3d_dollhouse_sink,multiview-05-pixel_5,multiview-05-pixel_5,3d_dollhouse_sink/multiview-05-pixel_5/images/025.jpg,3d_dollhouse_sink/multiview-05-pixel_5/images/029.jpg,50.673644,7.509056747999045,11.638484201736787
70,bottle_vitamin_d_tablets,multiview-00-pixel_4a,multiview-00-pixel_4a,bottle_vitamin_d_tablets/multiview-00-pixel_4a/images/023.jpg,bottle_vitamin_d_tablets/multiview-00-pixel_4a/images/024.jpg,57.985846,2.0516717489057195,4.899036796779713
71,box_multi_door_colored,multiview-04-pixel_6pro,multiview-04-pixel_6pro,box_multi_door_colored/multiview-04-pixel_6pro/images/020.jpg,box_multi_door_colored/multiview-04-pixel_6pro/images/021.jpg,72.494275,1.4743577948543554,4.612878900473204
72,bunny_racer,multiview-12-pixel_7,multiview-12-pixel_7,bunny_racer/multiview-12-pixel_7/images/034.jpg,bunny_racer/multiview-12-pixel_7/images/037.jpg,73.219386,4.498838301833366,3.5521373968939614
73,can_kernel_corn,multiview-04-pixel_6pro,multiview-04-pixel_6pro,can_kernel_corn/multiview-04-pixel_6pro/images/023.jpg,can_kernel_corn/multiview-04-pixel_6pro/images/024.jpg,70.213813,12.715722703669364,3.9725530109069664
74,chicken_racer,multiview-09-pixel_4xl,multiview-09-pixel_4xl,chicken_racer/multiview-09-pixel_4xl/images/027.jpg,chicken_racer/multiview-09-pixel_4xl/images/032.jpg,54.16271,2.982601941615815,6.60742944066835
75,circo_fish_toothbrush_holder_14995988,multiview-15-pixel_7,multiview-15-pixel_7,circo_fish_toothbrush_holder_14995988/multiview-15-pixel_7/images/132.jpg,circo_fish_toothbrush_holder_14995988/multiview-15-pixel_7/images/142.jpg,77.916634,7.696081563770293,2.6871380404738705
76,dino_4,multiview-07-sony_a7iv,multiview-07-sony_a7iv,dino_4/multiview-07-sony_a7iv/images/029.jpg,dino_4/multiview-07-sony_a7iv/images/033.jpg,57.411893,2.054630583529591,0.6141370191554251
77,dino_5,multiview-13-canon_t4i,multiview-13-canon_t4i,dino_5/multiview-13-canon_t4i/images/039.jpg,dino_5/multiview-13-canon_t4i/images/048.jpg,79.526775,3.2055544146609685,1.282078827299418
78,duck_bath_yellow_s,multiview-02-pixel_6pro,multiview-02-pixel_6pro,duck_bath_yellow_s/multiview-02-pixel_6pro/images/017.jpg,duck_bath_yellow_s/multiview-02-pixel_6pro/images/018.jpg,77.499659,12.41457631180325,9.370774072639442
79,fire_engine_toy_red_yellow_s,multiview-03-pixel_6pro,multiview-03-pixel_6pro,fire_engine_toy_red_yellow_s/multiview-03-pixel_6pro/images/020.jpg,fire_engine_toy_red_yellow_s/multiview-03-pixel_6pro/images/023.jpg,78.415442,2.8969535279868985,3.2475177980297762
80,garbage_truck_green_toy_s,multiview-04-pixel_6pro,multiview-04-pixel_6pro,garbage_truck_green_toy_s/multiview-04-pixel_6pro/images/020.jpg,garbage_truck_green_toy_s/multiview-04-pixel_6pro/images/024.jpg,60.14864,2.3787572748625894,0.6928996359155851
81,hand_drill_cordless_blue_black,multiview-00-pixel_6pro,multiview-00-pixel_6pro,hand_drill_cordless_blue_black/multiview-00-pixel_6pro/images/020.jpg,hand_drill_cordless_blue_black/multiview-00-pixel_6pro/images/024.jpg,70.131762,5.169290275050617,4.049331997114065
82,hut_mushrooms_showpiece,multiview-03-pixel_6pro,multiview-03-pixel_6pro,hut_mushrooms_showpiece/multiview-03-pixel_6pro/images/015.jpg,hut_mushrooms_showpiece/multiview-03-pixel_6pro/images/018.jpg,51.692445,0.7633128200050588,4.166303889389804
83,ice_cream_cart_showpiece,multiview-02-pixel_6pro,multiview-02-pixel_6pro,ice_cream_cart_showpiece/multiview-02-pixel_6pro/images/016.jpg,ice_cream_cart_showpiece/multiview-02-pixel_6pro/images/017.jpg,73.165574,3.806696429891095,7.503437831615307
84,keywest_showpiece_s,multiview-04-pixel_6pro,multiview-04-pixel_6pro,keywest_showpiece_s/multiview-04-pixel_6pro/images/019.jpg,keywest_showpiece_s/multiview-04-pixel_6pro/images/022.jpg,58.13713,3.1653698839852824,3.40560761905156
85,paper_weight_flowers_showpiece,multiview-03-pixel_6pro,multiview-03-pixel_6pro,paper_weight_flowers_showpiece/multiview-03-pixel_6pro/images/016.jpg,paper_weight_flowers_showpiece/multiview-03-pixel_6pro/images/019.jpg,65.141674,2.3673053791847405,1.7112699736480077
86,pumpkin_showpiece_s,multiview-02-pixel_6pro,multiview-02-pixel_6pro,pumpkin_showpiece_s/multiview-02-pixel_6pro/images/015.jpg,pumpkin_showpiece_s/multiview-02-pixel_6pro/images/016.jpg,73.891839,5.821292316031825,2.7430025386549337
87,remote_control_toy_car_s,multiview-00-pixel_4a,multiview-00-pixel_4a,remote_control_toy_car_s/multiview-00-pixel_4a/images/023.jpg,remote_control_toy_car_s/multiview-00-pixel_4a/images/024.jpg,85.316101,2.4289941563913304,6.934522570745802
88,schleich_african_black_rhino,multiview-08-pixel_4xl,multiview-08-pixel_4xl,schleich_african_black_rhino/multiview-08-pixel_4xl/images/027.jpg,schleich_african_black_rhino/multiview-08-pixel_4xl/images/029.jpg,62.375902,8.676564850362414,2.337795992147916
89,schleich_bald_eagle,multiview-10-canon_t4i,multiview-10-canon_t4i,schleich_bald_eagle/multiview-10-canon_t4i/images/021.jpg,schleich_bald_eagle/multiview-10-canon_t4i/images/027.jpg,69.720583,23.819138989436578,18.839696861200427
90,schleich_hereford_bull,multiview-04-pixel_4xl,multiview-04-pixel_4xl,schleich_hereford_bull/multiview-04-pixel_4xl/images/034.jpg,schleich_hereford_bull/multiview-04-pixel_4xl/images/035.jpg,58.719088,4.502576424906212,4.250271725434748
91,schleich_lion_action_figure,multiview-10-ipad_5,multiview-10-ipad_5,schleich_lion_action_figure/multiview-10-ipad_5/images/034.jpg,schleich_lion_action_figure/multiview-10-ipad_5/images/039.jpg,88.320563,1.9680484482287284,2.7168528049846334
92,schleich_spinosaurus_action_figure,multiview-11-pixel_7,multiview-11-pixel_7,schleich_spinosaurus_action_figure/multiview-11-pixel_7/images/044.jpg,schleich_spinosaurus_action_figure/multiview-11-pixel_7/images/053.jpg,79.84814,1.3856645605685158,3.3401989642054866
93,school_bus,multiview-12-pixel_5,multiview-12-pixel_5,school_bus/multiview-12-pixel_5/images/029.jpg,school_bus/multiview-12-pixel_5/images/034.jpg,51.782036,3.25171592793827,9.469770748970474
94,soldier_wood_showpiece,multiview-03-pixel_6pro,multiview-03-pixel_6pro,soldier_wood_showpiece/multiview-03-pixel_6pro/images/022.jpg,soldier_wood_showpiece/multiview-03-pixel_6pro/images/024.jpg,73.495289,1.1891364184744242,4.483741887315126
95,steps_small_showpiece,multiview-02-pixel_6pro,multiview-02-pixel_6pro,steps_small_showpiece/multiview-02-pixel_6pro/images/016.jpg,steps_small_showpiece/multiview-02-pixel_6pro/images/018.jpg,53.265314,2.653904906732659,1.981558151228413
96,tractor_green_showpiece,multiview-01-pixel_4a,multiview-01-pixel_4a,tractor_green_showpiece/multiview-01-pixel_4a/images/016.jpg,tractor_green_showpiece/multiview-01-pixel_4a/images/018.jpg,56.213566,3.4021606320375124,4.736058217228281
97,tumbler_air_balloon,multiview-03-pixel_6pro,multiview-03-pixel_6pro,tumbler_air_balloon/multiview-03-pixel_6pro/images/012.jpg,tumbler_air_balloon/multiview-03-pixel_6pro/images/014.jpg,52.396839,3.2827238197253217,1.5170185170435493
98,water_gun_toy_white,multiview-03-pixel_6pro,multiview-03-pixel_6pro,water_gun_toy_white/multiview-03-pixel_6pro/images/018.jpg,water_gun_toy_white/multiview-03-pixel_6pro/images/019.jpg,60.441289,10.76074723245591,2.8059236306570643
99,water_gun_toy_yellow,multiview-04-pixel_6pro,multiview-04-pixel_6pro,water_gun_toy_yellow/multiview-04-pixel_6pro/images/015.jpg,water_gun_toy_yellow/multiview-04-pixel_6pro/images/017.jpg,62.941127,6.136922974713493,0.5549309568631072
100,weisshai_great_white_shark,multiview-12-ipad_5,multiview-12-ipad_5,weisshai_great_white_shark/multiview-12-ipad_5/images/030.jpg,weisshai_great_white_shark/multiview-12-ipad_5/images/031.jpg,55.684151,5.515780448487356,1.516417149057584
101,welcome_sign_mushrooms,multiview-00-pixel_4a,multiview-00-pixel_4a,welcome_sign_mushrooms/multiview-00-pixel_4a/images/016.jpg,welcome_sign_mushrooms/multiview-00-pixel_4a/images/017.jpg,50.087716,1.419343090845942,8.562511784348382
102,well_with_leaf_roof_showpiece,multiview-03-pixel_6pro,multiview-03-pixel_6pro,well_with_leaf_roof_showpiece/multiview-03-pixel_6pro/images/016.jpg,well_with_leaf_roof_showpiece/multiview-03-pixel_6pro/images/019.jpg,81.35644,4.101322036382548,1.5026976496601672
