pair_idx,object_id,scene_a,scene_b,rel_a,rel_b,yaw_diff_deg,rot_err_deg,trans_dir_err_deg
241,dino_4,multiview-09-ipad_5,multiview-09-ipad_5,dino_4/multiview-09-ipad_5/images/048.jpg,dino_4/multiview-09-ipad_5/images/049.jpg,79.960287,7.224732599961091,7.535579013117437
242,dino_5,multiview-13-canon_t4i,multiview-13-canon_t4i,dino_5/multiview-13-canon_t4i/images/039.jpg,dino_5/multiview-13-canon_t4i/images/045.jpg,89.62099,6.274782037333339,3.8444681900831323
243,duck_bath_yellow_s,multiview-02-pixel_6pro,multiview-02-pixel_6pro,duck_bath_yellow_s/multiview-02-pixel_6pro/images/016.jpg,duck_bath_yellow_s/multiview-02-pixel_6pro/images/017.jpg,53.918211,13.26978487356593,7.08135455983082
244,fire_engine_toy_red_yellow_s,multiview-00-pixel_4a,multiview-00-pixel_4a,fire_engine_toy_red_yellow_s/multiview-00-pixel_4a/images/020.jpg,fire_engine_toy_red_yellow_s/multiview-00-pixel_4a/images/024.jpg,86.841272,2.9002597451422734,0.6288994696377296
245,garbage_truck_green_toy_s,multiview-04-pixel_6pro,multiview-04-pixel_6pro,garbage_truck_green_toy_s/multiview-04-pixel_6pro/images/021.jpg,garbage_truck_green_toy_s/multiview-04-pixel_6pro/images/022.jpg,87.250491,2.491146059705084,0.8126484024734839
246,hand_drill_cordless_blue_black,multiview-02-pixel_6pro,multiview-02-pixel_6pro,hand_drill_cordless_blue_black/multiview-02-pixel_6pro/images/022.jpg,hand_drill_cordless_blue_black/multiview-02-pixel_6pro/images/024.jpg,74.038796,6.855380953455143,3.7117935535650153
247,hut_mushrooms_showpiece,multiview-03-pixel_6pro,multiview-03-pixel_6pro,hut_mushrooms_showpiece/multiview-03-pixel_6pro/images/017.jpg,hut_mushrooms_showpiece/multiview-03-pixel_6pro/images/018.jpg,75.860887,6.655910441113486,5.198968488467697
248,ice_cream_cart_showpiece,multiview-02-pixel_6pro,multiview-02-pixel_6pro,ice_cream_cart_showpiece/multiview-02-pixel_6pro/images/016.jpg,ice_cream_cart_showpiece/multiview-02-pixel_6pro/images/018.jpg,59.892866,0.5963898649608531,1.963513370109512
249,keywest_showpiece_s,multiview-01-pixel_6pro,multiview-01-pixel_6pro,keywest_showpiece_s/multiview-01-pixel_6pro/images/022.jpg,keywest_showpiece_s/multiview-01-pixel_6pro/images/023.jpg,77.091317,2.2782552727307093,1.1235644458915406
250,remote_control_toy_car_s,multiview-03-pixel_6pro,multiview-03-pixel_6pro,remote_control_toy_car_s/multiview-03-pixel_6pro/images/021.jpg,remote_control_toy_car_s/multiview-03-pixel_6pro/images/024.jpg,68.302479,1.5110178369962701,3.120546604981262
